trial,log_loss,xgb_depth,xgb_lr,lgb_num_leaves,lgb_lr
0,0.38107323112802166,5,0.2536999076681772,166,0.010725209743171997
1,0.3696064303626146,4,0.027010527749605478,41,0.0178601378893971
2,0.37670324318658427,3,0.22038218939289875,249,0.24420460844911424
3,0.3651056871212874,5,0.026000059117302653,75,0.1601531217136121
4,0.38050032610944723,5,0.030222834756467344,202,0.13766134492174428
5,0.3740381014202448,4,0.040381768820718394,212,0.1937550186412042
6,0.3750771695780968,9,0.18681142751959703,243,0.05838706626832953
7,0.3791802992931253,7,0.01191352711592148,85,0.1333535316674426
8,0.37438148746267863,3,0.07461403484816762,186,0.2419155450887376
9,0.3795935222506086,4,0.01372537052078299,232,0.1418961933595484
10,0.3708847749639653,10,0.10809366764261581,130,0.04471733402942452
11,0.3667658934930726,6,0.025603129195305357,31,0.010476017962229866
12,0.3673920282056175,7,0.019464948422505284,39,0.028337393542944525
13,0.3738975268010407,7,0.05009489576280556,83,0.0629607515255155
14,0.3704043381670024,6,0.020278210956046656,79,0.010524177177942776
15,0.373291596557536,8,0.051292947750371895,114,0.0827410943447617
16,0.36413648001700305,6,0.010135920199000071,61,0.029265967839378845
17,0.37000055091142453,6,0.012149703008264172,66,0.03192376075644104
18,0.3651279659921414,5,0.010268600452518001,116,0.021823018774642086
19,0.3738807753188486,9,0.016705690415972245,147,0.0907222824897131
20,0.3728472787216786,8,0.09327026042009703,64,0.016475092771613905
21,0.36450078502815375,5,0.010270231807889035,109,0.02135071002128587
22,0.3638759497437977,5,0.016080183906549812,101,0.035325324361789076
23,0.3683142159758824,6,0.015412313830942529,101,0.036120828036649455
24,0.3630163084066257,4,0.01062163655667699,148,0.023387155833956938
25,0.36967665372565056,4,0.01699949662029122,146,0.043340542034127
26,0.3633765859523835,3,0.021392499641891355,134,0.025535640830652413
27,0.36499367870113647,3,0.034949484433502556,165,0.01649803296739612
28,0.3650740227787611,3,0.023304277553804566,135,0.023952205444074663
29,0.369582878893432,4,0.019695741224393545,168,0.013751257542368812
